,adtv_bn
TDC,1.2725949036666666
BDT,1.2306653483333332
NTC,1.2254701666666667
CRE,1.2192686913333333
VRC,1.2176488558333332
LSG,1.2146466316666666
DSH,1.1946320416666667
IDI,1.1721030698333335
RYG,1.1718876849999997
TSA,1.1624926666666668
MVN,1.1587843916666667
SVN,1.153531685
VCS,1.1531449783333332
VBB,1.13682873525
BMI,1.1367031950000002
PPC,1.082121518
HAX,1.0756203896666667
CQN,1.0607786383333333
MCM,1.0460079858333333
ABS,1.0459402563333333
CAP,1.030912505
BCE,1.028719213
TTF,1.0199950081666667
STH,1.01416051
DHB,1.011449465
FIR,1.0071018513333332
D2D,1.0065144816666667
TNH,0.9777003176666667
AAH,0.9239068116666668
PAT,0.8773774583166668
ADS,0.8676675436666668
DL1,0.865958085
VLC,0.8515095816666667
LHC,0.84627898
CTP,0.8424166416666667
VTO,0.8416315833333333
DVP,0.8295186233333334
NHA,0.8272267563333333
FIT,0.8196439356666667
DDG,0.813975355
PSD,0.8117122904833334
SGR,0.8020775950000001
ODE,0.7982993633333333
SZL,0.791149725
ANT,0.7902574083333334
MML,0.7707481416666667
SEA,0.7656479066666666
VIP,0.7577923853333333
CAR,0.7467934816666668
SJD,0.7220475433333333
SAS,0.7187261107833333
MCP,0.713021
VSF,0.7049560266666667
API,0.7019176449999999
CVN,0.70176064
DHG,0.6846130033333333
LLM,0.68036413
DC4,0.6634791283333334
ITC,0.66300984
THG,0.6491956091666666
MBG,0.646132555
IPA,0.6454610669833332
VGP,0.62763099
TV1,0.6263260450000001
BIC,0.6252639375
TIP,0.6240108366666667
NTH,0.6208621926666666
PDN,0.619301995
VC7,0.59753171
PIV,0.58782629
TTH,0.585179615
SPV,0.5843845933333333
HHC,0.5815750766666666
OGC,0.5806119774999999
G36,0.5736267416666667
CKA,0.5614614966666667
SGP,0.5468498116666667
AMV,0.5446187783333333
BKG,0.5437801753333333
TPP,0.5372144683333333
VTV,0.5356215966666665
PGC,0.5324665483333333
VNB,0.5221923016666666
VIT,0.5200037174166666
HDA,0.5150528733333334
TLH,0.5015635666666667
IMP,0.4937228183333333
DP3,0.4925416966666667
SAM,0.48623987516666667
NBB,0.4754048825
LIX,0.47371803500000004
NAG,0.47223148345
LIG,0.4683744883333334
TCI,0.4631795283333333
VPG,0.45834712583333337
HAP,0.4558048331666667
FMC,0.4543400025
DVN,0.4502065820333333
HGM,0.4463293475833333
SGN,0.4427933266666667
DHT,0.4396371133333333
AST,0.4373702433333333
SBB,0.4370428316833333
LBM,0.43385134333333336
DVM,0.4307977966666667
VNP,0.43055664773333335
SJE,0.42756052333333333
PDB,0.42673622333333333
NHH,0.4254729208333333
GCF,0.42438636166666666
VEF,0.42240553000000003
PLP,0.4162280948333333
VHE,0.4128291966666667
SLS,0.41015265333333334
PAS,0.4035155816666667
TPC,0.39558993333333337
HLD,0.39363066658333334
LSS,0.38699931683333333
ABT,0.3852451416666667
AMS,0.3846738133333333
CLX,0.3821502026333334
SKG,0.3711904396666667
CLW,0.3561075833333333
DSC,0.35551423416666666
SGT,0.3509128405
PPH,0.34962633161666673
TCL,0.3414675808333334
HKT,0.3392622706833333
PVX,0.33237327666666666
HVT,0.33107118195
DRH,0.33009401666666666
LDP,0.32928431666666663
BGE,0.32885578000000004
HTI,0.3274262333333333
VHG,0.32575161666666663
JVC,0.32101543699999996
CAT,0.32033493
MRF,0.3192843166666667
PXL,0.315369625
PVG,0.31305223666666665
ILB,0.31248104
S99,0.31147371833333337
OCH,0.31055091833333326
VIG,0.3099211366666667
GSP,0.3098110204999999
VCP,0.30629045666666666
TNT,0.30552480583333336
DDB,0.3041646666666667
CHP,0.3010177733333333
TTG,0.300901475
ABI,0.2974795466666667
ITQ,0.2966358
MVC,0.2964932967833334
SMB,0.2950114091666667
GDA,0.2906835316666666
TCD,0.28615674833333327
CMS,0.2844029783333334
LBE,0.2821771421
L18,0.2812935283333334
SAF,0.27837524166666666
DGT,0.26896415
PGB,0.266458395
VFG,0.2631278566666667
LIC,0.26308178499999996
TEG,0.2625241983333333
SZB,0.25843800694999997
KVC,0.257727215
CIG,0.24879528383333332
CKG,0.24664923249999998
DHM,0.2422549516666667
VNR,0.24203524183333333
NBC,0.23923446783333333
BTP,0.23900607666666668
LAF,0.23670973166666667
BWS,0.2358040311
TRA,0.23523350333333332
VTK,0.23466532506666668
VNL,0.23224435000000002
HCC,0.2292428450333333
IVS,0.22901354833333332
TSC,0.22747789066666665
VSH,0.22649888166666665
TDT,0.2262531902
ICG,0.22424270833333335
ALC,0.2227561183333333
PDV,0.22246085000000002
C47,0.22085
TRV,0.22067771333333333
VC2,0.21366515166666666
ILS,0.21226950166666664
CMX,0.20843088666666665
CSC,0.20771147618333335
TLP,0.20698124166666668
DRL,0.20459363166666666
DAH,0.20444408833333336
BAB,0.20369606610000002
VMS,0.20349691665
ACG,0.20295999333333334
HTG,0.20282456926666667
ST8,0.20244981883333332
TD6,0.19861041166666665
KDM,0.1977271716666667
MDG,0.19633691666666667
CLL,0.19569771083333332
SGB,0.1918541483333333
SRF,0.1905852083333333
TVD,0.18972713833333332
DBT,0.18945096666666666
XMC,0.1865165516666667
SP2,0.1862752166666667
TTN,0.18594955371666666
ILA,0.18466150666666664
IDV,0.18458468000000003
GHC,0.18018753333333332
BCC,0.17753689166666667
WSS,0.1770176983333333
KTS,0.16745750666666664
LGL,0.167420728
CCL,0.16551440066666664
VTR,0.16529178833333336
RAL,0.16351835166666664
HCD,0.16350579799999998
NAS,0.16056187000000002
MPC,0.1600515716666667
TSB,0.15999752166666667
PTL,0.15919327683333334
DTP,0.15890179773333335
AGP,0.15820666833333333
CNG,0.15353553166666664
SHP,0.1518046783333333
HMS,0.15109147
TDH,0.15018000099999998
BKC,0.14903120958333332
INN,0.14900236500000003
PV2,0.14860070166666667
PGV,0.14829385
VNC,0.14561941999999997
SCI,0.14425962166666667
PGI,0.14363370666666667
MFS,0.14310923333333334
PIA,0.14188102
PHC,0.14052392666666666
HMH,0.140371995
SBA,0.13982576333333332
STK,0.13976427333333336
HAR,0.13931876183333333
NED,0.13784698499999998
KCB,0.13623036156666665
VIF,0.13618272569999998
NET,0.13533615833333332
CMN,0.13532474
SGC,0.1345669458
SDT,0.13342382
ICT,0.1315852133333333
DHD,0.131010615
ITD,0.12956885666666668
VKC,0.1291503983333333
BNA,0.12858362166666665
AVG,0.12763546166666664
CDN,0.12548101
SDA,0.12476522166666668
PSW,0.12362136396666669
GDT,0.12242890666666667
PGS,0.12052985833333334
NSH,0.118979025
DSN,0.11736334583333334
MHC,0.11369106999999999
TID,0.11363122596666667
TDG,0.11346028216666666
CST,0.11261040333333332
GDH,0.10954673500000002
VPS,0.10817443983333334
KHP,0.107658386
EVE,0.106506193
POS,0.10650107833333333
VCF,0.106089
VEC,0.10605792666666668
TV4,0.10460857833333334
FIC,0.10429983999999999
BDG,0.10340116855000002
TVB,0.10321178266666667
HLB,0.10316944833333332
FCM,0.10296153100000001
TT6,0.10193307833333336
VPD,0.10150427499999999
HHG,0.09716423333333334
HTM,0.09687861166666667
PRE,0.09685865093333333
SVC,0.09612026833333333
SD9,0.09493932333333333
TCW,0.09376494833333332
ADP,0.0913448
C32,0.09087436750000001
CBS,0.08880844
PGN,0.08876385166666667
UIC,0.08866366666666667
BMC,0.08681834166666666
CLC,0.08643429166666668
GCB,0.08582636333333332
WCS,0.08485259666666668
NDP,0.08442823333333334
TMT,0.08375253333333334
BCA,0.083619625
NCG,0.08273146833333332
ACE,0.08122766951666666
VGV,0.08095553166666668
M10,0.08065243666666667
PGD,0.07943445083333334
TBC,0.0781832
UDJ,0.07679968166666667
TMB,0.07587181833333333
NHT,0.07481968166666667
HND,0.07444071166666667
TMP,0.07439155
NSC,0.07412700166666666
AGX,0.0740076569
SED,0.07383057416666666
PMC,0.07345007341666666
NFC,0.07327444333333333
HPD,0.07319040666666668
BSL,0.07312451333333334
VCC,0.07245742666666667
KHS,0.07236320666666668
HPP,0.07223420883333333
SPD,0.07218333333333332
ABC,0.070051795
CMF,0.06911399166666667
SRA,0.06851142666666667
GVT,0.06833906201666666
AMP,0.06750287666666667
LM8,0.06739196666666666
